episodes,win_rate,loss_rate,bust_rate,avg_reward,policy_loss,value_loss,entropy
1509,0.28098078197481774,0.6805831676607025,0.30218687872763417,-0.3996023856858847,-0.03334675413789227,0.10955851646140218,0.6782479099929333
3023,0.30250990752972257,0.6479524438573315,0.25957727873183617,-0.34544253632760896,-0.049628302035853264,0.10391587959602475,0.6560256473720074
4497,0.3514246947082768,0.592944369063772,0.2544097693351425,-0.24151967435549526,-0.05541987341712229,0.12444022288545967,0.5805354580283165
5886,0.3383729301655867,0.5817134629229662,0.2728581713462923,-0.2433405327573794,-0.029827799909980968,0.1195960252545774,0.48788896910846236
7203,0.3690205011389522,0.5641609719058466,0.3492786636294609,-0.19514047076689445,-0.023127631144598128,0.13929789736866952,0.35772691667079926
8438,0.36923076923076925,0.5668016194331984,0.4,-0.19757085020242915,-0.009247754444368183,0.14782341970130802,0.28505739141255615
9672,0.34359805510534847,0.5737439222042139,0.42382495948136145,-0.23014586709886548,-0.007269057724624872,0.1509781558997929,0.23656915314495564
10883,0.36829066886870354,0.5631709331131296,0.4343517753922378,-0.1948802642444261,-0.0014472599606961012,0.15177372070029377,0.1975693643093109
12120,0.3856103476151981,0.534357316087308,0.4042037186742118,-0.14874696847210994,-0.002368871180806309,0.16430375687777996,0.17606374118477106
13325,0.3643153526970954,0.5585062240663901,0.4473029045643154,-0.1941908713692946,-0.001982969109667465,0.15858808495104312,0.15613911245018244
14502,0.37638062871707734,0.5522514868309261,0.4672897196261682,-0.17587085811384875,-0.0008186761580873281,0.1685158746317029,0.1356281946413219
15698,0.3277591973244147,0.5978260869565217,0.5117056856187291,-0.270066889632107,0.0009936249742168001,0.1597712704911828,0.12825319757685066
16892,0.3492462311557789,0.5653266331658291,0.46817420435510887,-0.21608040201005024,0.0013331339578144252,0.16265078969299793,0.10670625464990735
18090,0.34223706176961605,0.5617696160267112,0.4707846410684474,-0.21953255425709517,0.0005319105315720662,0.16573152225464582,0.09147008685395122
19272,0.3790186125211506,0.5423011844331641,0.4323181049069374,-0.16328257191201354,0.003319715562975034,0.16326550394296646,0.10322062242776156
20503,0.36718115353371245,0.5548334687246141,0.45897644191714054,-0.1876523151909017,-0.0007548054913058877,0.15796395167708396,0.0871064206585288
21735,0.3652597402597403,0.560064935064935,0.46266233766233766,-0.19480519480519481,-0.0025098079058807343,0.1595001483336091,0.08294911058619618
22910,0.3625531914893617,0.5378723404255319,0.45617021276595743,-0.1753191489361702,0.0010831769031938165,0.16292061042040587,0.07478530141524971
24092,0.38917089678510997,0.5253807106598984,0.4416243654822335,-0.1362098138747885,-0.0002547417941968888,0.16753708776086568,0.06775804278440774
25270,0.3684210526315789,0.5517826825127334,0.48217317487266553,-0.1833616298811545,0.00021502856398001314,0.17391757778823375,0.0650288708973676
26420,0.3347826086956522,0.5704347826086956,0.4956521739130435,-0.23565217391304347,-0.0015387024672236294,0.1700829952955246,0.05007959259673953
27587,0.3744644387317909,0.5552699228791774,0.48671808054841476,-0.18080548414738645,0.0010849327838514,0.16979445051401854,0.04151489427313208
28753,0.3713550600343053,0.5548885077186964,0.4777015437392796,-0.1835334476843911,-0.0008291552658192813,0.1719503229483962,0.04335284475237131
29920,0.34704370179948585,0.585261353898886,0.5235646958011997,-0.23821765209940018,0.003956205217400565,0.15723403748124837,0.04126845905557275
31097,0.3678844519966015,0.5675446049277825,0.5055225148683092,-0.19966015293118097,-0.0012127853813581168,0.16496307216584682,0.05151646169833839
32275,0.35823429541595925,0.5577249575551783,0.47368421052631576,-0.199490662139219,-0.00033296155743300915,0.16890564877539874,0.04358606671448797
