episodes,win_rate,loss_rate,bust_rate,avg_reward,policy_loss,value_loss,entropy
1509,0.28098078197481774,0.6805831676607025,0.30218687872763417,-0.3996023856858847,-0.052046772331232206,0.2270696934312582,0.6726924523711204
3101,0.2989949748743719,0.6538944723618091,0.22675879396984924,-0.3548994974874372,-0.04119160603149794,0.21091818921267985,0.6201836302876472
4699,0.35607008760951186,0.5901126408010012,0.155819774718398,-0.23404255319148937,-0.034169167763320726,0.21793392412364482,0.5687189124524593
6354,0.37280966767371604,0.5595166163141994,0.10513595166163142,-0.18670694864048337,-0.02398207816295326,0.20005522202700377,0.5212751712650061
7949,0.39184952978056425,0.5454545454545454,0.09592476489028214,-0.1536050156739812,-0.012375959649216384,0.1977436400949955,0.48754473552107813
9479,0.3915032679738562,0.5398692810457516,0.10588235294117647,-0.14836601307189543,-0.011852071824250743,0.1940611658617854,0.4658303089439869
10993,0.39696169088507266,0.5290620871862616,0.10501981505944517,-0.13210039630118892,-0.009897481463849545,0.18486672043800353,0.4196596428751945
12474,0.41053342336259285,0.5165428764348413,0.11613774476704929,-0.10600945307224847,-0.0028913020272739232,0.19437158200889826,0.39359677881002425
13912,0.4179415855354659,0.5146036161335188,0.13977746870653684,-0.09666203059805285,-0.004021220386493951,0.19315138831734657,0.36781039983034136
15354,0.4070735090152566,0.521497919556172,0.130374479889043,-0.1144244105409154,-0.0029851617582608014,0.18663559164851903,0.3537630904465914
16749,0.414336917562724,0.5154121863799284,0.14193548387096774,-0.1010752688172043,-0.004675908217905089,0.18925209026783704,0.34683429040014746
18163,0.4101838755304102,0.4900990099009901,0.13932107496463933,-0.07991513437057991,-0.004064552509225905,0.1895104717463255,0.3114059243351221
19516,0.4212860310421286,0.4818920916481892,0.13895048041389504,-0.06060606060606061,-0.005221025497303344,0.19121332559734583,0.2911092970520258
20920,0.4230769230769231,0.5056980056980057,0.1168091168091168,-0.08262108262108261,0.000989740213844925,0.18647152166813613,0.2854711601510644
22337,0.3959068454481299,0.5102328863796753,0.16019760056457305,-0.11432604093154553,-0.002751671854639426,0.18825572431087495,0.2780214920639992
23670,0.4111027756939235,0.4951237809452363,0.14928732183045762,-0.08402100525131283,-0.00044343507033772767,0.1891859259456396,0.25462158042937516
25001,0.41697971450037563,0.4898572501878287,0.1517655897821187,-0.07287753568745305,-0.0025451304158195854,0.1851067215204239,0.24234920255839826
26329,0.4352409638554217,0.46987951807228917,0.18373493975903615,-0.03463855421686747,-0.0023046453366987406,0.18754934649914504,0.24084802493453025
27633,0.39723926380368096,0.5084355828220859,0.17561349693251535,-0.1111963190184049,-0.0008310568460728973,0.18298070821911097,0.222352135181427
28950,0.4160971905846621,0.5003796507213364,0.21336370539104024,-0.08428246013667426,-0.00040281410911120475,0.18372971154749393,0.21700478829443454
30247,0.4055512721665382,0.49884348496530456,0.2251349267540478,-0.09329221279876639,0.00027610553661361337,0.19075376205146313,0.20066048130393027
31548,0.398923904688701,0.5026902382782475,0.18754803996925443,-0.1037663335895465,-0.0003735698293894529,0.18652056213468313,0.1903624279424548
32849,0.42121445042275174,0.504227517294389,0.2175249807840123,-0.0830130668716372,-0.00046958064776845274,0.18707237243652344,0.18433753810822964
34143,0.43353941267387947,0.47295208655332305,0.1947449768160742,-0.03941267387944358,0.0003518018638715148,0.18511939160525798,0.18457041457295417
35413,0.4015748031496063,0.5149606299212598,0.24173228346456693,-0.11338582677165354,-0.0008122043625917285,0.1823027627542615,0.1789198849350214
36690,0.42756460454189504,0.4667188723570869,0.2090837901331245,-0.03915426781519186,-0.000171312183374539,0.1848208988085389,0.17189499344676734
37947,0.4399363564041368,0.46539379474940334,0.1877486077963405,-0.02545743834526651,-0.0013468992547132075,0.190318744443357,0.17413552794605494
39243,0.41512345679012347,0.48148148148148145,0.21296296296296297,-0.06635802469135803,-0.0008974370546638965,0.18459488470107316,0.1594967059791088
40518,0.41568627450980394,0.49254901960784314,0.21019607843137256,-0.07686274509803921,-0.0009130136313615367,0.18684794306755065,0.1644041731953621
41812,0.42890262751159197,0.4814528593508501,0.21792890262751158,-0.05255023183925812,-9.306244319304824e-05,0.18310047797858714,0.16574527323246002
43104,0.4218266253869969,0.48374613003095973,0.20046439628482973,-0.06191950464396285,-0.0011385153396986426,0.18749925773590803,0.16940068416297435
44422,0.4165402124430956,0.5060698027314112,0.2078907435508346,-0.08952959028831563,-0.0001771997078321874,0.18367251008749008,0.1597531821578741
45697,0.42196078431372547,0.48784313725490197,0.21019607843137256,-0.06588235294117648,-0.0005568889318965375,0.1901535090059042,0.15883748587220908
46952,0.38645418326693226,0.5083665338645418,0.2239043824701195,-0.12191235059760956,-0.00028742544818669555,0.190324923209846,0.1426951726898551
48233,0.42935206869633097,0.4879000780640125,0.22872755659640906,-0.0585480093676815,-0.0008073820266872644,0.1858350971713662,0.15529411993920803
49491,0.41812400635930047,0.48569157392686807,0.21303656597774245,-0.06756756756756757,0.000244847551221028,0.18766260910779237,0.14528966220095754
50782,0.41518202943454685,0.48024786986831913,0.19287374128582493,-0.06506584043377227,0.0005634523055050522,0.1869955824688077,0.1656468128785491
52056,0.41130298273155413,0.49293563579277866,0.2237048665620094,-0.08163265306122448,-0.00017733688582666218,0.18971604183316232,0.1573957594111562
53342,0.4121306376360809,0.49300155520995337,0.2192846034214619,-0.08087091757387248,-0.002879870973993093,0.19018947388976812,0.15652217008173466
54642,0.4084615384615385,0.48615384615384616,0.2230769230769231,-0.07769230769230769,-0.0009834146359935403,0.18527956120669842,0.15305101675912738
