episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-1.55,,-2.0,0.0,0.0
2,-0.17,,-1.0,-0.1,0.0
3,1.3433333333333333,,0.0,0.0,0.3333333333333333
4,1.4560302268915553,,0.5,0.03015113445777636,0.5
5,-1.5039697731084447,,0.0,0.0,0.4
6,-2.2817195781930657,,-0.5,-0.02526455763199557,0.3333333333333333
7,1.4697303695746167,,-0.14285714285714285,-0.007035975447302917,0.42857142857142855
8,-2.275764097440228,,-0.5,-0.023570226039551587,0.375
9,-1.557583613927718,,-0.6666666666666666,-0.0324442842261525,0.3333333333333333
10,-0.049279247868855125,,-0.6,-0.03061862178478973,0.3
11,-0.08078874043852674,,-0.5454545454545454,-0.029070094986690553,0.2727272727272727
12,-1.5893254431326231,,-0.6666666666666666,-0.036214298417007414,0.25
13,-0.06608981376500506,,-0.6153846153846154,-0.03461938579263324,0.23076923076923078
14,-0.8537588347828284,,-0.6428571428571429,-0.0374674902409632,0.21428571428571427
15,-0.8240971199086462,,-0.6666666666666666,-0.04016096644512494,0.2
16,-0.07702042561436637,,-0.625,-0.03869116162670684,0.1875
17,-0.07881552442933132,,-0.5882352941176471,-0.037371754637596795,0.17647058823529413
18,-1.5816886540915478,,-0.6666666666666666,-0.04264014327112209,0.16666666666666666
19,-0.876914801257,,-0.6842105263157895,-0.04490775483047534,0.15789473684210525
20,-0.13009448229601558,,-0.65,-0.043551638661232524,0.15
21,-0.8385669375248089,,-0.6666666666666666,-0.04571162039138374,0.14285714285714285
22,1.3713353390173602,,-0.5454545454545454,-0.03566629789666584,0.18181818181818182
23,0.6765300076733933,,-0.4782608695652174,-0.03128840681937159,0.21739130434782608
24,1.4357231395565995,,-0.375,-0.023791547571544325,0.25
25,-0.09017352218285574,,-0.36,-0.023284515771189986,0.24
26,-0.062141695604933156,,-0.34615384615384615,-0.022808577638091167,0.23076923076923078
27,-0.06373470618347252,,-0.3333333333333333,-0.022360679774997894,0.2222222222222222
28,-1.5660728513804951,,-0.39285714285714285,-0.026257545381445875,0.21428571428571427
29,2.1868562917774277,,-0.27586206896551724,-0.017293508046684676,0.2413793103448276
30,-2.310451280364909,,-0.36666666666666664,-0.022319215616939923,0.23333333333333334
31,-0.0629375961324696,,-0.3548387096774194,-0.0219386575185264,0.22580645161290322
32,0.657502149128267,,-0.3125,-0.019418390934515434,0.25
33,-0.05846345276170343,,-0.30303030303030304,-0.019110994086122907,0.24242424242424243
34,-0.810180771378059,,-0.3235294117647059,-0.02065204283982285,0.23529411764705882
35,-0.09241334771737873,,-0.3142857142857143,-0.020342484840021,0.22857142857142856
36,-0.0629984203403564,,-0.3055555555555556,-0.020046442258586313,0.2222222222222222
37,-0.8144676530441659,,-0.32432432432432434,-0.021511042181462242,0.21621621621621623
38,-0.09855118273751358,,-0.3157894736842105,-0.021213203435596427,0.21052631578947367
39,-1.5674848083335553,,-0.358974358974359,-0.024038098691020575,0.20512820512820512
40,-0.06903851825838547,,-0.35,-0.0237185951650094,0.2
41,-2.320709697348976,,-0.4146341463414634,-0.027390867189627133,0.1951219512195122
42,0.6804205651792912,,-0.38095238095238093,-0.025210139666530174,0.21428571428571427
43,1.4354028519712037,,-0.32558139534883723,-0.021197527387750312,0.23255813953488372
44,-0.062445332844039775,,-0.3181818181818182,-0.02094457023625404,0.22727272727272727
45,-0.06337951070885778,,-0.3111111111111111,-0.02070045805550965,0.2222222222222222
46,-0.814556085947671,,-0.32608695652173914,-0.021886734967869415,0.21739130434782608
47,-1.5662049453136448,,-0.3617021276595745,-0.02421662249767307,0.2127659574468085
48,-0.06752307805548213,,-0.3541666666666667,-0.023948413169808468,0.20833333333333334
49,-0.06828597053250524,,-0.3469387755102041,-0.023688922485914997,0.20408163265306123
50,0.6832929735268064,,-0.32,-0.021887026206583313,0.22
51,-2.315794126375576,,-0.37254901960784315,-0.02492674292619832,0.21568627450980393
52,-0.8174511213511794,,-0.38461538461538464,-0.02594123185383093,0.21153846153846154
53,-0.06841549134093025,,-0.37735849056603776,-0.025679040525711516,0.20754716981132076
54,-0.1034767402394593,,-0.37037037037037035,-0.02542464180904607,0.2037037037037037
55,-2.3203444448573913,,-0.41818181818181815,-0.028149434329763717,0.2
56,-0.07156248011996548,,-0.4107142857142857,-0.027877251984349406,0.19642857142857142
57,-0.07215691070400823,,-0.40350877192982454,-0.027612815320152917,0.19298245614035087
58,-1.5731493117569606,,-0.43103448275862066,-0.029452557741722417,0.1896551724137931
59,-2.324657751771795,,-0.4745762711864407,-0.03188412630719939,0.1864406779661017
60,-0.07571753568518771,,-0.4666666666666667,-0.03159055776845669,0.18333333333333332
61,-2.326728048788426,,-0.5081967213114754,-0.033880287266568,0.18032786885245902
62,1.4244611612624642,,-0.46774193548387094,-0.030752034395727258,0.1935483870967742
