episodes,win_rate,loss_rate,bust_rate,avg_reward,policy_loss,value_loss,entropy
1509,0.28098078197481774,0.6805831676607025,0.30218687872763417,-0.3996023856858847,-0.05602572642965242,0.7508517608046532,0.6721760712563991
3100,0.3035826524198617,0.6486486486486487,0.22375864236329351,-0.3450659962287869,-0.04232885808451101,0.7589430175721645,0.6197798267006874
4690,0.3452830188679245,0.6018867924528302,0.16037735849056603,-0.25660377358490566,-0.030575135463732295,0.7747187688946724,0.566152223944664
6348,0.36369119420989143,0.5639324487334137,0.10313630880579011,-0.20024125452352232,-0.014502576907398179,0.7259138606488704,0.5387271329760551
7951,0.3849033063006862,0.5520898315658141,0.09544603867747972,-0.1671865252651279,-0.008448273816611618,0.7135194465517998,0.5113994516432285
9550,0.41025641025641024,0.5365853658536586,0.10131332082551595,-0.12632895559724827,-0.013910712845972738,0.7429259598255158,0.48205441497266294
11076,0.3944954128440367,0.5399737876802096,0.11861074705111402,-0.145478374836173,-0.005351886991411448,0.7101798452436924,0.4659077748656273
12612,0.40234375,0.5201822916666666,0.10546875,-0.11783854166666667,-0.004053072025999427,0.7154051251709461,0.42597535997629166
14081,0.4098025867937372,0.5221238938053098,0.10006807351940095,-0.1123213070115725,-0.006247816269751638,0.7018786855041981,0.396495558321476
15511,0.41818181818181815,0.5062937062937063,0.13916083916083916,-0.08811188811188811,-0.0052543169585987926,0.7038099743425846,0.375157480686903
16940,0.4205738278516445,0.5017494751574527,0.10356892932120364,-0.08117564730580826,-0.0036346811335533856,0.6947855293750763,0.3416262660175562
18394,0.40646492434663,0.5027510316368639,0.10453920220082531,-0.09628610729023383,-0.0029083263711072505,0.6800337433815002,0.32616372518241404
19813,0.40380549682875266,0.5024665257223396,0.12896405919661733,-0.09866102889358704,-0.002587292465614155,0.6873497053980827,0.3048464506864548
21229,0.4110169491525424,0.5035310734463276,0.13206214689265536,-0.0925141242937853,-0.003398853144608438,0.6855836510658264,0.2882064126431942
22636,0.4079601990049751,0.4982231698649609,0.1279317697228145,-0.09026297085998579,-0.000573128170799464,0.6792267836630345,0.28687350265681744
23971,0.40074906367041196,0.5086142322097378,0.14082397003745317,-0.10786516853932585,0.0010209313535597176,0.6804606221616268,0.2788301965221763
25408,0.4349338900487126,0.48643006263048016,0.09951287404314545,-0.05149617258176757,-0.0016049825469963252,0.6867273211479187,0.2527463475242257
26825,0.4163726182074806,0.49258997882851097,0.11573747353563868,-0.07621736062103035,-0.00046997746685519817,0.6786457404494286,0.24248683638870716
28253,0.4005602240896359,0.5140056022408963,0.12464985994397759,-0.1134453781512605,-0.0011738059693016112,0.6737608350813389,0.25141666904091836
29675,0.41068917018284107,0.5021097046413502,0.10126582278481013,-0.09142053445850915,-0.0020006161008495837,0.6739590726792812,0.23773066680878402
31004,0.3875094055680963,0.5131677953348383,0.15349887133182843,-0.1256583897667419,-0.0009871862654108553,0.6529280930757523,0.2240666499361396
32360,0.44026548672566373,0.4749262536873156,0.11651917404129794,-0.03466076696165192,-0.0005337263806723058,0.6947832949459553,0.22197629362344742
33751,0.41552839683680803,0.5039539899352984,0.14737598849748382,-0.0884255930984903,-0.0007958389003761112,0.7102739557623863,0.22946121953427792
35109,0.4101620029455081,0.5139911634756995,0.15022091310751104,-0.10382916053019146,-8.65687383338809e-05,0.6610598191618919,0.22406398355960847
36473,0.3870967741935484,0.5183284457478006,0.18914956011730205,-0.1312316715542522,-0.0010041654866654425,0.6461507603526115,0.22145031597465276
37769,0.42592592592592593,0.4783950617283951,0.18595679012345678,-0.05246913580246913,-0.0001750987023115158,0.680250596255064,0.20889689903706313
39029,0.4253968253968254,0.4793650793650794,0.22301587301587303,-0.05396825396825397,-0.0014210848603397608,0.6852836035192013,0.19895227178931235
40350,0.4080242240726722,0.4958364875094625,0.19984859954579864,-0.08781226343679031,-0.001614409394096583,0.6708932660520077,0.18370701055973768
41639,0.42823894491854153,0.4887509697439876,0.2009309542280838,-0.060512024825446084,-0.0004991573514416814,0.7062992170453072,0.18737172055989504
42918,0.41282251759186867,0.48553557466770914,0.21344800625488664,-0.0727130570758405,0.0021180897660087795,0.678598889708519,0.2000578986480832
44259,0.42878448918717377,0.4966442953020134,0.16181953765846382,-0.06785980611483967,0.0003233939409255981,0.7016973607242107,0.21157100535929202
45598,0.4324122479462285,0.4854368932038835,0.1463778939507095,-0.05302464525765497,0.001995226362487301,0.6937039539217948,0.19920571986585855
46891,0.4052590873936582,0.4918793503480278,0.1848414539829853,-0.08662026295436968,-0.001912667928263545,0.6629093363881111,0.18483896888792514
48187,0.404320987654321,0.5023148148148148,0.18364197530864199,-0.09799382716049383,0.0018528719316236674,0.6759233117103577,0.1850977787747979
49487,0.4169230769230769,0.4776923076923077,0.1853846153846154,-0.06076923076923077,0.00012438665144145488,0.6717756941914559,0.18765545058995486
50819,0.3993993993993994,0.5022522522522522,0.18993993993993993,-0.10285285285285285,-0.0012421205698046832,0.6782430298626423,0.20313561130315066
52110,0.4268009295120062,0.4895429899302866,0.18512780790085206,-0.0627420604182804,7.054092129692436e-05,0.6955794967710972,0.19570378847420217
53421,0.4233409610983982,0.486651411136537,0.19832189168573608,-0.06331045003813883,0.00025382692110724746,0.6683915957808495,0.1871124878525734
54735,0.4041095890410959,0.4992389649923896,0.2009132420091324,-0.09512937595129375,-0.0012366604292765259,0.6495321549475193,0.18157110083848238
56025,0.4069767441860465,0.4875968992248062,0.22325581395348837,-0.08062015503875969,-0.0010056166152935474,0.6527746431529522,0.1892112037166953
