,mean_reward,std_reward,mean_return,std_return,mean_episode_length,win_rate,total_games,total_wins,mean_game_return,std_game_return,mean_bet,sharpe_ratio
dqn,-0.008374159725638122,0.8420993823376237,0.429,1.6771878249021486,2.275,0.238,1000.0,238.0,0.429,1.6771878249021486,2.972,0.25578530539656696
ddqn,-0.03186711993729916,0.7197875877309221,0.423,1.4332030560949833,2.193,0.198,1000.0,198.0,0.423,1.4332030560949833,2.775,0.2951431049502076
dueling_ddqn,0.06321954160853922,0.794830796760272,0.532,1.5827115972279977,2.181,0.247,1000.0,247.0,0.532,1.5827115972279977,2.947,0.33613199077567807
ppo,-0.3880629892425182,0.04160719014541125,0.0,0.0,2.0,0.0,1000.0,0.0,0.0,0.0,2.922,0.0
