episodes,win_rate,loss_rate,bust_rate,avg_reward,policy_loss,value_loss,entropy
1509,0.28098078197481774,0.6805831676607025,0.30218687872763417,-0.3996023856858847,-0.13602175107225775,0.2056729931384325,0.6650159865617752
3096,0.3238815374921235,0.632010081915564,0.21550094517958412,-0.30812854442344045,-0.12147672090213746,0.16309212911874055,0.5718055684119463
4822,0.3424101969872538,0.6106604866743917,0.14716106604866744,-0.2682502896871379,-0.1098532588686794,0.12265234813094139,0.3739167356863618
6687,0.37855227882037534,0.5630026809651475,0.04718498659517426,-0.18445040214477212,-0.05523642976768315,0.04983379589393735,0.21340433079749346
8647,0.38724489795918365,0.5551020408163265,0.010714285714285714,-0.16785714285714284,-0.020819868560647593,0.011407892026181799,0.1568500528112054
10621,0.38145896656534956,0.5587639311043566,0.006585612968591692,-0.1773049645390071,-0.016419720777776092,0.006789982512668757,0.1144870382733643
12574,0.38863287250384027,0.5611879160266257,0.005120327700972862,-0.17255504352278545,-0.013742853770963848,0.005305050839956494,0.145145171135664
14517,0.368502316006176,0.5815748841996912,0.002058672156459084,-0.2130725681935152,-0.007752760220319033,0.001987867026934964,0.14024053141474724
16441,0.3659043659043659,0.5826403326403327,0.0,-0.21673596673596673,-0.0010855784581508487,1.6631923148224815e-05,0.12421190962195397
18369,0.37344398340248963,0.5731327800829875,0.0015560165975103733,-0.19968879668049794,-0.0069129473064094785,0.001483269381552077,0.11223053121939301
20247,0.3887113951011715,0.5676251331203408,0.0,-0.17891373801916932,-0.002666842297185212,3.719550309142505e-05,0.2950743706896901
22027,0.3842696629213483,0.5646067415730337,0.046067415730337076,-0.18033707865168538,-0.0435705142095685,0.04356178329326212,0.28088281359523537
23856,0.3827227993439038,0.5560415527610716,0.02405686167304538,-0.17331875341716785,-0.03216214276617393,0.023110670520691202,0.23672028109431267
25748,0.3810782241014799,0.5671247357293869,0.013742071881606765,-0.18604651162790697,-0.023678763740463182,0.013454530515264195,0.20064231809228658
27658,0.3680628272251309,0.5701570680628272,0.0036649214659685864,-0.20209424083769634,-0.012243781267898157,0.0038871476151143723,0.17005715323612094
29576,0.37851929092805003,0.5537017726798749,0.004171011470281543,-0.17518248175182483,-0.011990705784410239,0.003964199027268478,0.1624283455312252
31530,0.37717502558853633,0.5742067553735927,0.0010235414534288639,-0.1970317297850563,-0.005623980308882892,0.0009999141277489798,0.1338848306797445
33468,0.3849329205366357,0.56656346749226,0.0005159958720330237,-0.18163054695562436,-0.00397746484959498,0.0005117160910515395,0.10279963258653879
35409,0.38382277176713037,0.5692941782586296,0.0,-0.18547140649149924,-0.0008511243562679738,7.580359239511836e-06,0.10702681159600616
37314,0.3795275590551181,0.5769028871391076,0.0,-0.1973753280839895,-0.0034576295060105623,1.5014687042480545e-05,0.12555650444701313
39212,0.3724973656480506,0.5763962065331928,0.0,-0.20389884088514226,-0.003076420197612606,1.3118814672452573e-05,0.11809587124735117
41086,0.384204909284952,0.5629669156883671,0.0005336179295624333,-0.17876200640341516,-0.004001839674310758,0.0005049231200587201,0.1217300109565258
43004,0.38425443169968715,0.5667361835245047,0.0005213764337851929,-0.18248175182481752,-0.004284620413091034,0.0005025581244183286,0.10770464185625314
44877,0.3710624666310731,0.5782167645488521,0.0,-0.20715429791777895,-0.012395724514499306,3.30108376942917e-05,0.15540243219584227
46751,0.35005336179295626,0.5992529348986126,0.0,-0.24919957310565635,-0.001848511566640809,2.1438142266561044e-05,0.27334352433681486
48527,0.3721846846846847,0.5782657657657657,0.02252252252252252,-0.20608108108108109,-0.03207209397805855,0.02367981286952272,0.23748780824244023
